STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure_Desc,SECTOR,Sector_Desc,INDUSTRY,Industry_Type,TSEST,Adjustment_Type,REGION,Region_Desc,FREQ,Frequency,TIME_PERIOD,Time_Period_Desc,OBS_VALUE,Observation_Value,UNIT_MEASURE,Unit_of_Measure,UNIT_MULT,Unit_of_Multiplier,OBS_STATUS,Observation_Status,OBS_COMMENT,Observation_Comment,DECIMALS,Decimals_Desc
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2021-Q4,,10.7,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2022-Q1,,11.2,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2022-Q2,,11.3,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2023-Q2,,46.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2023-Q3,,44.2,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2023-Q4,,42.8,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2024-Q1,,39.8,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2024-Q2,,38.8,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2024-Q3,,35.9,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2024-Q4,,36.1,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2025-Q1,,37.2,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2020-Q1,,25,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2020-Q2,,17.8,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2020-Q3,,22.1,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2020-Q4,,25.7,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2021-Q1,,28.2,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2021-Q2,,30.1,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2021-Q3,,31.3,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2021-Q4,,34.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2022-Q1,,37.8,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2022-Q2,,40.8,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2022-Q3,,45.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2022-Q4,,46.9,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2024-Q1,,362.7,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2024-Q2,,341.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2024-Q3,,332,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2024-Q4,,348.2,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2025-Q1,,328.9,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2020-Q1,,229.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2020-Q2,,124.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2020-Q3,,208,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2020-Q4,,259.2,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2021-Q1,,291,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2021-Q2,,355.4,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2021-Q3,,337,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2021-Q4,,404.6,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2022-Q1,,426.8,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2022-Q2,,461,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2022-Q3,,475,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2022-Q4,,450.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2023-Q1,,442.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2023-Q2,,414.8,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2023-Q3,,402.3,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2021-Q3,,1.2,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2021-Q4,,1.6,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2022-Q1,,1.9,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2022-Q2,,2.1,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2023-Q4,,338.9,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2024-Q1,,322.1,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2024-Q2,,309.2,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2024-Q3,,301.8,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2024-Q4,,298.3,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2025-Q1,,295.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2020-Q1,,205.1,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2023-Q3,,1.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2023-Q4,,1.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2024-Q1,,1.4,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2024-Q2,,1.3,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2024-Q3,,1.3,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2024-Q4,,1.6,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2025-Q1,,1.7,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2020-Q1,,1.4,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2020-Q2,,1.2,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2020-Q3,,1.3,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2020-Q4,,1.1,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2021-Q1,,1.6,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2023-Q2,,47.1,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2023-Q3,,44.1,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2023-Q4,,43.3,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2024-Q1,,39,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2024-Q2,,39.3,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2024-Q3,,35.7,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2024-Q4,,36.6,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2025-Q1,,36.4,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2020-Q1,,24.4,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2020-Q2,,17.9,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2020-Q3,,22.3,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2020-Q4,,25.8,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2021-Q1,,27.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2021-Q2,,30.4,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2021-Q3,,31.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2021-Q4,,34.7,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2022-Q1,,37,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2022-Q2,,41.3,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2022-Q3,,45.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2022-Q4,,47.4,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2023-Q2,,379,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2023-Q3,,351.3,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2023-Q4,,341.1,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2024-Q1,,322.6,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2024-Q2,,311.1,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2024-Q3,,291.7,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2024-Q4,,308.4,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2025-Q1,,291.7,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2020-Q1,,202.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,20,Seasonally Adjusted,AUS,Australia,Q,Quarterly,2020-Q2,,110.7,,NUM,Number,3,Thousands,,,,,1,One
